Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.67	0.164958	1.67	0.164958	0.00117532
32	100	1.88	0.181262	1.88	0.181262	0.00210207
64	100	1.95	0.188878	1.95	0.188878	0.00408087
128	100	1.65	0.163325	1.65	0.163325	0.00814279
256	100	1.71	0.181271	1.71	0.181271	0.0161931
512	100	1.89	0.164861	1.89	0.164861	0.032176
1024	100	1.88	0.154454	1.88	0.154454	0.0648982
2048	100	1.48	0.136733	1.48	0.136733	0.13005
4096	100	1.56	0.130629	1.56	0.130629	0.25877
8192	100	1.66	0.146438	1.66	0.146438	0.527484
16384	100	1.87	0.170091	1.87	0.170091	1.09266
32768	100	1.85	0.160857	1.85	0.160857	2.28517
65536	100	1.9	0.154596	1.9	0.154596	4.73465
