Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.6	0.156205	1.6	0.156205	0.00107561
32	100	1.58	0.150453	1.58	0.150453	0.00168152
64	100	1.91	0.150396	1.91	0.150396	0.00264909
128	100	2.06	0.14479	2.06	0.14479	0.0050364
256	100	2.81	0.138344	2.81	0.138344	0.0104631
512	100	3.15	0.127574	3.15	0.127574	0.0194926
1024	100	3.32	0.111247	3.32	0.111247	0.0380028
2048	100	3.5	0.0953939	3.5	0.0953939	0.0761592
4096	100	3.62	0.0809691	3.62	0.0809691	0.145573
8192	100	3.53	0.0793158	3.53	0.0793158	0.300539
16384	100	3.67	0.0837317	3.67	0.0837317	0.585362
32768	100	3.65	0.0920598	3.65	0.0920598	1.135
65536	100	3.69	0.0820914	3.69	0.0820914	2.39772
