Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.54	0.159637	1.54	0.159637	0.00114104
32	100	1.61	0.154204	1.61	0.154204	0.00155467
64	100	2.06	0.166024	2.06	0.166024	0.00258875
128	100	2.37	0.163496	2.37	0.163496	0.00562756
256	100	2.56	0.155769	2.56	0.155769	0.0103136
512	100	3.06	0.125555	3.06	0.125555	0.0202363
1024	100	3.25	0.099373	3.25	0.099373	0.0379681
2048	100	3.65	0.099373	3.65	0.099373	0.0730232
4096	100	3.43	0.0764918	3.43	0.0764918	0.147872
8192	100	3.58	0.0737292	3.58	0.0737292	0.297219
16384	100	3.59	0.0775822	3.59	0.0775822	0.584783
32768	100	3.63	0.0820427	3.63	0.0820427	1.15518
65536	100	3.55	0.0817007	3.55	0.0817007	2.39803
