Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.3	0.123693	1.3	0.123693	0.0008958
32	100	1.71	0.145117	1.71	0.145117	0.00126458
64	100	1.61	0.147577	1.61	0.147577	0.00202814
128	100	1.77	0.157388	1.77	0.157388	0.0035784
256	100	1.9	0.152643	1.9	0.152643	0.00674463
512	100	1.98	0.172615	1.98	0.172615	0.0126589
1024	100	1.76	0.173274	1.76	0.173274	0.0245417
2048	100	2.3	0.163401	2.3	0.163401	0.0508192
4096	100	2.47	0.160284	2.47	0.160284	0.0922583
8192	100	2.8	0.173205	2.8	0.173205	0.181509
16384	100	2.83	0.14564	2.83	0.14564	0.366126
32768	100	3.45	0.124399	3.45	0.124399	0.714425
65536	100	3.49	0.0899944	3.49	0.0899944	1.4391
