Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.43	0.175645	1.43	0.175645	0.0016562
32	100	1.86	0.178897	1.86	0.178897	0.00230075
64	100	1.53	0.180807	1.53	0.180807	0.00390038
128	100	1.66	0.161382	1.66	0.161382	0.00699427
256	100	1.74	0.175283	1.74	0.175283	0.0131352
512	100	1.57	0.163863	1.57	0.163863	0.0247473
1024	100	1.61	0.167269	1.61	0.167269	0.0475413
2048	100	1.48	0.15263	1.48	0.15263	0.0957623
4096	100	1.18	0.132197	1.18	0.132197	0.200568
8192	100	1.18	0.135189	1.18	0.135189	0.379826
16384	100	1.57	0.138025	1.57	0.138025	0.76792
32768	100	1.47	0.141035	1.47	0.141035	1.50202
65536	100	1.18	0.116944	1.18	0.116944	2.9942
