Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	2.22	0.226971	2.22	0.226971	0.0014992
32	100	2.69	0.244416	2.69	0.244416	0.00215331
64	100	2.78	0.235618	2.78	0.235618	0.00348441
128	100	3.19	0.257175	3.19	0.257175	0.00623758
256	100	3.15	0.261295	3.15	0.261295	0.0114317
512	100	4.18	0.308344	4.18	0.308344	0.0233569
1024	100	3.59	0.271328	3.59	0.271328	0.0431201
2048	100	5.17	0.306286	5.17	0.306286	0.0790573
4096	100	6.68	0.282092	6.68	0.282092	0.148256
8192	100	8.05	0.228637	8.05	0.228637	0.283873
16384	100	9.41	0.0849647	9.41	0.0849647	0.52499
32768	100	9.91	0.0349142	9.91	0.0349142	1.05696
65536	100	9.99	0.00994987	9.99	0.00994987	2.10435
