Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.6	0.207364	1.6	0.207364	0.00187906
32	100	1.45	0.154515	1.45	0.154515	0.00265568
64	100	1.59	0.17441	1.59	0.17441	0.00431062
128	100	1.71	0.191465	1.71	0.191465	0.00783299
256	100	1.47	0.173468	1.47	0.173468	0.0167305
512	100	1.82	0.169929	1.82	0.169929	0.0244903
1024	100	1.61	0.158047	1.61	0.158047	0.048767
2048	100	1.35	0.138834	1.35	0.138834	0.0957979
4096	100	1.85	0.181865	1.85	0.181865	0.191937
8192	100	1.26	0.127765	1.26	0.127765	0.357302
16384	100	1.51	0.165224	1.51	0.165224	0.703982
32768	100	1.55	0.156445	1.55	0.156445	1.40777
65536	100	1.51	0.143871	1.51	0.143871	2.84246
