Initialising fast UCB table... done
Time in this step: 0.0124205
Time in this step: 0.0125556
Time in this step: 0.0123927
Time in this step: 0.0126301
Time in this step: 0.0124425
Time in this step: 0.0122941
Time in this step: 0.0125597
Time in this step: 0.0124515
Time in this step: 0.0124859
Time in this step: 0.012621
Time in this step: 0.0125516
Time in this step: 0.0127671
Time in this step: 0.0125149
Time in this step: 0.0123647
Time in this step: 0.0123719
Time in this step: 0.0123694
Time in this step: 0.0131157
Time in this step: 0.0188619
Time in this step: 0.0162274
Time in this step: 0.0115255
Time in this step: 0.0108971
Time in this step: 0.009984
Time in this step: 0.00759031
Time in this step: 0.00750112
Time in this step: 0.00387884
Terminated
Discounted return = 2.37827, average = 3.77541
Undiscounted return = 10, average = 12.5
Starting run 9 with 256 simulations... 
Time in this step: 0.0127538
Time in this step: 0.012664
Time in this step: 0.0125976
Time in this step: 0.012587
Time in this step: 0.0127664
Time in this step: 0.012633
Time in this step: 0.0126344
Time in this step: 0.0124822
Time in this step: 0.0123046
Time in this step: 0.0125469
Time in this step: 0.0124459
Time in this step: 0.0130492
Time in this step: 0.0123624
Time in this step: 0.0126077
Time in this step: 0.01297
Time in this step: 0.0126063
Time in this step: 0.012997
Time in this step: 0.0130049
Time in this step: 0.0130426
Time in this step: 0.0128913
Time in this step: 0.0129562
Time in this step: 0.0126813
Time in this step: 0.0123394
Time in this step: 0.012266
Time in this step: 0.0119419
Time in this step: 0.0119451
Time in this step: 0.0117729
Time in this step: 0.0118696
Time in this step: 0.0117643
Time in this step: 0.0114142
Time in this step: 0.0113605
Time in this step: 0.0110514
Time in this step: 0.0114277
Time in this step: 0.0109325
Time in this step: 0.010498
Time in this step: 0.0103136
Time in this step: 0.0100094
Time in this step: 0.0100907
Time in this step: 0.00978717
Time in this step: 0.00993887
Time in this step: 0.0103372
Time in this step: 0.010485
Time in this step: 0.00974866
Time in this step: 0.0102057
Time in this step: 0.00981318
Time in this step: 0.00990487
Time in this step: 0.00896319
Time in this step: 0.0097049
Time in this step: 0.00838437
Time in this step: 0.00609765
Time in this step: 0.00313086
Terminated
Discounted return = 7.50588, average = 4.18991
Undiscounted return = 40, average = 15.5556
Starting run 10 with 256 simulations... 
Time in this step: 0.0138743
Time in this step: 0.0136294
Time in this step: 0.0132447
Time in this step: 0.0133968
Time in this step: 0.0128458
Time in this step: 0.012895
Time in this step: 0.0123045
Time in this step: 0.0123076
Time in this step: 0.0116629
Time in this step: 0.0119903
Time in this step: 0.0120544
Time in this step: 0.0119569
Time in this step: 0.0116887
Time in this step: 0.0108887
Time in this step: 0.010331
Time in this step: 0.00925388
Time in this step: 0.00752048
Time in this step: 0.00411501
Terminated
Discounted return = 12.3263, average = 5.00354
Undiscounted return = 20, average = 16
Starting run 11 with 256 simulations... 
Time in this step: 0.0127133
Time in this step: 0.01274
Time in this step: 0.0126138
Time in this step: 0.0120929
Time in this step: 0.0117124
Time in this step: 0.0115846
Time in this step: 0.0116969
Time in this step: 0.0122212
Time in this step: 0.0119072
Time in this step: 0.0116779
Time in this step: 0.0122863
Time in this step: 0.0123809
Time in this step: 0.0129193
Time in this step: 0.0123701
Time in this step: 0.0114416
Time in this step: 0.0110815
Time in this step: 0.0105639
Time in this step: 0.00950356
Time in this step: 0.00895418
