Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	0.58	0.0802247	0.58	0.0802247	0.000325443
32	100	0.7	0.0830662	0.7	0.0830662	0.000479552
64	100	0.86	0.0938296	0.86	0.0938296	0.000844786
128	100	0.68	0.0881816	0.68	0.0881816	0.00159651
256	100	0.84	0.0902441	0.84	0.0902441	0.00303438
512	100	0.99	0.0877439	0.99	0.0877439	0.00589297
1024	100	0.75	0.0876071	0.75	0.0876071	0.0117903
2048	100	0.61	0.084729	0.61	0.084729	0.0235126
4096	100	0.9	0.0953939	0.9	0.0953939	0.0462964
8192	100	0.75	0.0792149	0.75	0.0792149	0.0929437
16384	100	0.76	0.0906863	0.76	0.0906863	0.185638
32768	100	0.74	0.0807713	0.74	0.0807713	0.372143
65536	100	0.75	0.0952628	0.75	0.0952628	0.745103
