Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.89	0.16118	1.89	0.16118	0.000967357
32	100	1.94	0.160512	1.94	0.160512	0.00106036
64	100	1.94	0.163597	1.94	0.163597	0.0016873
128	100	2.1	0.18412	2.1	0.18412	0.00304602
256	100	2.24	0.189272	2.24	0.189272	0.00558912
512	100	2.57	0.186684	2.57	0.186684	0.0109414
1024	100	2.85	0.201184	2.85	0.201184	0.0199681
2048	100	4.2	0.179444	4.2	0.179444	0.0358718
4096	100	4.84	0.146779	4.84	0.146779	0.0694839
8192	100	5.36	0.129244	5.36	0.129244	0.137208
16384	100	5.81	0.0577841	5.81	0.0577841	0.259924
32768	100	5.99	0.00994987	5.99	0.00994987	0.512397
65536	100	6	0	6	0	1.01428
