Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.34	0.13507	1.34	0.13507	0.000706702
32	100	1.26	0.141152	1.26	0.141152	0.000999037
64	100	1.1	0.130767	1.1	0.130767	0.00155406
128	100	1.21	0.133638	1.21	0.133638	0.00265163
256	100	1.45	0.136657	1.45	0.136657	0.00465207
512	100	1.33	0.137153	1.33	0.137153	0.00900239
1024	100	1.34	0.145753	1.34	0.145753	0.0168558
2048	100	1.06	0.128701	1.06	0.128701	0.0342932
4096	100	1.31	0.12625	1.31	0.12625	0.0646084
8192	100	1.09	0.121733	1.09	0.121733	0.132634
16384	100	1.07	0.119378	1.07	0.119378	0.285834
32768	100	1.33	0.133458	1.33	0.133458	0.528523
65536	100	1.3	0.140357	1.3	0.140357	1.04406
