Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.53	0.159031	1.53	0.159031	0.00224834
32	100	1.54	0.169953	1.54	0.169953	0.00336393
64	100	1.53	0.17289	1.53	0.17289	0.00554477
128	100	1.29	0.14163	1.29	0.14163	0.011576
256	100	1.38	0.16296	1.38	0.16296	0.020495
512	100	1.51	0.163398	1.51	0.163398	0.0384523
1024	100	1.37	0.127793	1.37	0.127793	0.0737956
2048	100	1.1	0.134536	1.1	0.134536	0.148868
4096	100	1.23	0.129503	1.23	0.129503	0.30495
8192	100	1.39	0.135569	1.39	0.135569	0.621747
16384	100	1.25	0.14239	1.25	0.14239	1.22656
32768	100	1.37	0.135392	1.37	0.135392	2.59887
65536	100	1.02	0.119147	1.02	0.119147	5.05372
