Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	0.73	0.0822861	0.73	0.0822861	0.00025678
32	100	0.66	0.0751266	0.66	0.0751266	0.000412657
64	100	0.7	0.0806226	0.7	0.0806226	0.000745704
128	100	0.71	0.0765441	0.71	0.0765441	0.00142715
256	100	0.64	0.0685857	0.64	0.0685857	0.00280703
512	100	0.64	0.0700286	0.64	0.0700286	0.00542524
1024	100	0.63	0.0687823	0.63	0.0687823	0.0107668
2048	100	0.66	0.0764461	0.66	0.0764461	0.0209875
4096	100	0.61	0.0676683	0.61	0.0676683	0.0417046
8192	100	0.63	0.0743707	0.63	0.0743707	0.0833424
16384	100	0.57	0.0724638	0.57	0.0724638	0.166656
32768	100	0.59	0.0722426	0.59	0.0722426	0.336917
65536	100	0.7	0.0728011	0.7	0.0728011	0.688831
