Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	2.41	0.205473	2.41	0.205473	0.000977728
32	100	2.91	0.237947	2.91	0.237947	0.00156302
64	100	2.59	0.23626	2.59	0.23626	0.00283184
128	100	2.69	0.250876	2.69	0.250876	0.00527784
256	100	3.05	0.266974	3.05	0.266974	0.00998619
512	100	3.09	0.276078	3.09	0.276078	0.0194088
1024	100	4.06	0.288382	4.06	0.288382	0.0374599
2048	100	5.47	0.31063	5.47	0.31063	0.071673
4096	100	6.54	0.315728	6.54	0.315728	0.13791
8192	100	7.73	0.279233	7.73	0.279233	0.265143
16384	100	9.36	0.114473	9.36	0.114473	0.497918
32768	100	9.87	0.039128	9.87	0.039128	0.975306
65536	100	10	0	10	0	1.94743
