Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.58	0.143652	1.58	0.143652	0.00127003
32	100	2.11	0.166069	2.11	0.166069	0.00158819
64	100	2.24	0.170364	2.24	0.170364	0.00277127
128	100	2.94	0.145479	2.94	0.145479	0.00514265
256	100	3.43	0.14509	3.43	0.14509	0.00928659
512	100	3.7	0.117047	3.7	0.117047	0.0192824
1024	100	3.99	0.0842556	3.99	0.0842556	0.0355671
2048	100	4.08	0.079599	4.08	0.079599	0.0691412
4096	100	4.23	0.0798185	4.23	0.0798185	0.138984
8192	100	4.2	0.0678233	4.2	0.0678233	0.27438
16384	100	4.25	0.0753326	4.25	0.0753326	0.534812
32768	100	4.25	0.0668954	4.25	0.0668954	1.01706
65536	100	4.27	0.0705053	4.27	0.0705053	2.02018
