Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.6	0.171464	1.6	0.171464	0.00174921
32	100	1.58	0.176737	1.58	0.176737	0.00231302
64	100	1.54	0.166985	1.54	0.166985	0.00468698
128	100	1.43	0.152483	1.43	0.152483	0.00887406
256	100	1.34	0.13507	1.34	0.13507	0.0170224
512	100	1.72	0.175545	1.72	0.175545	0.033517
1024	100	1.92	0.209609	1.92	0.209609	0.0653029
2048	100	2.22	0.220717	2.22	0.220717	0.178395
4096	100	1.42	0.132801	1.42	0.132801	0.305198
8192	100	1.72	0.164365	1.72	0.164365	0.638398
16384	100	1.84	0.195816	1.84	0.195816	1.25419
32768	100	1.57	0.172774	1.57	0.172774	2.5405
65536	100	1.6	0.160624	1.6	0.160624	5.22024
