Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.12	0.130599	1.12	0.130599	0.00119318
32	100	1.57	0.162022	1.57	0.162022	0.00148331
64	100	1.87	0.153398	1.87	0.153398	0.00242999
128	100	1.71	0.139496	1.71	0.139496	0.00458883
256	100	1.74	0.152722	1.74	0.152722	0.00904151
512	100	2.15	0.135923	2.15	0.135923	0.0183494
1024	100	1.83	0.142165	1.83	0.142165	0.0349816
2048	100	2.08	0.152105	2.08	0.152105	0.0679854
4096	100	2.11	0.139208	2.11	0.139208	0.137934
8192	100	1.97	0.135982	1.97	0.135982	0.286438
16384	100	1.94	0.142	1.94	0.142	0.586297
32768	100	2.14	0.142141	2.14	0.142141	1.1501
65536	100	2.15	0.151245	2.15	0.151245	2.32684
