Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.76	0.194484	1.76	0.194484	0.000966195
32	100	1.85	0.192029	1.85	0.192029	0.00159128
64	100	1.7	0.177482	1.7	0.177482	0.00292939
128	100	1.76	0.186075	1.76	0.186075	0.00554235
256	100	1.71	0.185092	1.71	0.185092	0.0112542
512	100	1.78	0.171219	1.78	0.171219	0.0230859
1024	100	1.91	0.185524	1.91	0.185524	0.0470141
2048	100	1.49	0.157159	1.49	0.157159	0.0981582
4096	100	1.52	0.166421	1.52	0.166421	0.201993
8192	100	1.48	0.151314	1.48	0.151314	0.423376
16384	100	1.63	0.177006	1.63	0.177006	0.903109
32768	100	1.64	0.187894	1.64	0.187894	1.92118
65536	100	1.48	0.175203	1.48	0.175203	4.11739
