Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	0.66	0.0839285	0.66	0.0839285	0.000501106
32	100	0.77	0.0947154	0.77	0.0947154	0.00065068
64	100	0.82	0.093145	0.82	0.093145	0.0012352
128	100	0.84	0.0913455	0.84	0.0913455	0.0023358
256	100	0.74	0.091236	0.74	0.091236	0.00455462
512	100	0.82	0.095268	0.82	0.095268	0.00898604
1024	100	0.87	0.0934398	0.87	0.0934398	0.0179096
2048	100	0.9	0.0994987	0.9	0.0994987	0.035742
4096	100	0.7	0.08544	0.7	0.08544	0.0717666
8192	100	0.94	0.0936162	0.94	0.0936162	0.141343
16384	100	0.99	0.0877439	0.99	0.0877439	0.28084
32768	100	0.98	0.093787	0.98	0.093787	0.565001
65536	100	1.08	0.096623	1.08	0.096623	1.14952
