Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.54	0.156474	1.54	0.156474	0.00116541
32	100	1.51	0.140353	1.51	0.140353	0.00149427
64	100	1.67	0.147685	1.67	0.147685	0.00247244
128	100	1.84	0.127844	1.84	0.127844	0.00468339
256	100	2.14	0.162493	2.14	0.162493	0.00914022
512	100	2.19	0.159809	2.19	0.159809	0.0173636
1024	100	1.92	0.141901	1.92	0.141901	0.03731
2048	100	1.98	0.1449	1.98	0.1449	0.0730288
4096	100	1.97	0.144537	1.97	0.144537	0.144211
8192	100	2.22	0.149385	2.22	0.149385	0.285443
16384	100	2.2	0.150997	2.2	0.150997	0.623499
32768	100	2.17	0.142165	2.17	0.142165	1.1833
65536	100	2.18	0.152565	2.18	0.152565	2.36274
