Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.23	0.12398	1.23	0.12398	0.00130066
32	100	0.87	0.118874	0.87	0.118874	0.00169652
64	100	1.05	0.121963	1.05	0.121963	0.00294639
128	100	1.06	0.111194	1.06	0.111194	0.00546032
256	100	1.19	0.114625	1.19	0.114625	0.00982813
512	100	1.06	0.110291	1.06	0.110291	0.0198915
1024	100	1.06	0.112089	1.06	0.112089	0.0353922
2048	100	0.97	0.0994535	0.97	0.0994535	0.0729097
4096	100	0.79	0.0863655	0.79	0.0863655	0.202264
8192	100	0.91	0.0980765	0.91	0.0980765	0.310195
16384	100	1.16	0.10837	1.16	0.10837	0.593847
32768	100	1.15	0.107121	1.15	0.107121	1.15718
65536	100	1.12	0.101272	1.12	0.101272	2.27449
