Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.43	0.149837	1.43	0.149837	0.000930407
32	100	1.62	0.156064	1.62	0.156064	0.00118951
64	100	1.64	0.152	1.64	0.152	0.00189018
128	100	1.89	0.156777	1.89	0.156777	0.00325003
256	100	1.98	0.164912	1.98	0.164912	0.00614767
512	100	2.11	0.168461	2.11	0.168461	0.0118146
1024	100	2.31	0.183682	2.31	0.183682	0.0230888
2048	100	2.8	0.176635	2.8	0.176635	0.0451094
4096	100	3.38	0.177076	3.38	0.177076	0.0835883
8192	100	3.41	0.163153	3.41	0.163153	0.169048
16384	100	3.74	0.146711	3.74	0.146711	0.329322
32768	100	4.27	0.0858545	4.27	0.0858545	0.633548
65536	100	4.36	0.0640625	4.36	0.0640625	1.28126
