Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.43	0.138748	1.43	0.138748	0.00105397
32	100	1.55	0.160234	1.55	0.160234	0.00118885
64	100	1.51	0.153294	1.51	0.153294	0.00208787
128	100	1.45	0.166358	1.45	0.166358	0.00375545
256	100	1.28	0.129677	1.28	0.129677	0.00666551
512	100	1.74	0.157239	1.74	0.157239	0.0133422
1024	100	1.76	0.16439	1.76	0.16439	0.0232297
2048	100	1.77	0.150236	1.77	0.150236	0.0444969
4096	100	2	0.14	2	0.14	0.0840596
8192	100	1.99	0.153945	1.99	0.153945	0.169958
16384	100	2.04	0.135588	2.04	0.135588	0.351328
32768	100	1.8	0.14	1.8	0.14	0.734185
65536	100	1.93	0.130579	1.93	0.130579	1.33634
