Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.11	0.129534	1.11	0.129534	0.000687617
32	100	1.04	0.118254	1.04	0.118254	0.000876804
64	100	1	0.130384	1	0.130384	0.00130184
128	100	1.3	0.126095	1.3	0.126095	0.00223874
256	100	1.18	0.118642	1.18	0.118642	0.00347594
512	100	1.39	0.146216	1.39	0.146216	0.00626647
1024	100	1.17	0.129657	1.17	0.129657	0.0131023
2048	100	1.15	0.131434	1.15	0.131434	0.02495
4096	100	1.27	0.144121	1.27	0.144121	0.0493925
8192	100	1.14	0.109563	1.14	0.109563	0.101438
16384	100	1.21	0.116013	1.21	0.116013	0.200912
32768	100	1.16	0.131697	1.16	0.131697	0.363139
65536	100	1.42	0.140129	1.42	0.140129	0.714663
