Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.62	0.150187	1.62	0.150187	0.00101086
32	100	1.79	0.162662	1.79	0.162662	0.00140464
64	100	2.08	0.159173	2.08	0.159173	0.00244195
128	100	2.37	0.168318	2.37	0.168318	0.00470524
256	100	2.23	0.16962	2.23	0.16962	0.00860837
512	100	2.62	0.164791	2.62	0.164791	0.0172031
1024	100	2.67	0.17496	2.67	0.17496	0.0341269
2048	100	2.82	0.161481	2.82	0.161481	0.0704848
4096	100	2.37	0.174158	2.37	0.174158	0.141729
8192	100	2.31	0.174181	2.31	0.174181	0.297682
16384	100	2.41	0.16619	2.41	0.16619	0.614671
32768	100	2.71	0.165103	2.71	0.165103	1.18441
65536	100	2.26	0.172406	2.26	0.172406	2.38483
