Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	0.74	0.0878863	0.74	0.0878863	0.000212164
32	100	0.74	0.091236	0.74	0.091236	0.000308199
64	100	0.92	0.0986712	0.92	0.0986712	0.000552897
128	100	0.8	0.087178	0.8	0.087178	0.00108048
256	100	0.83	0.0849176	0.83	0.0849176	0.00214238
512	100	0.82	0.0909725	0.82	0.0909725	0.00423066
1024	100	0.84	0.0956243	0.84	0.0956243	0.00828411
2048	100	0.66	0.079019	0.66	0.079019	0.0170055
4096	100	0.67	0.0775306	0.67	0.0775306	0.0340262
8192	100	0.69	0.0820914	0.69	0.0820914	0.0691062
16384	100	0.8	0.0894427	0.8	0.0894427	0.135619
32768	100	0.76	0.0849941	0.76	0.0849941	0.280708
65536	100	0.72	0.0895321	0.72	0.0895321	0.592239
