Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.17	0.128105	1.17	0.128105	0.000955902
32	100	1.35	0.148577	1.35	0.148577	0.00134241
64	100	1.06	0.135514	1.06	0.135514	0.00215662
128	100	1.25	0.137386	1.25	0.137386	0.00400382
256	100	1.32	0.129522	1.32	0.129522	0.00792573
512	100	1.15	0.12278	1.15	0.12278	0.0160708
1024	100	0.91	0.114974	0.91	0.114974	0.0327079
2048	100	1.5	0.132288	1.5	0.132288	0.0662235
4096	100	1.42	0.142955	1.42	0.142955	0.147801
8192	100	1.43	0.132102	1.43	0.132102	0.312151
16384	100	1.33	0.131191	1.33	0.131191	0.664817
32768	100	1.51	0.135274	1.51	0.135274	1.12574
65536	100	1.27	0.126376	1.27	0.126376	2.25114
