Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	0.91	0.0970515	0.91	0.0970515	0.000439533
32	100	1.14	0.108646	1.14	0.108646	0.000499665
64	100	1.1	0.108167	1.1	0.108167	0.000674769
128	100	1.02	0.102937	1.02	0.102937	0.00124877
256	100	1.18	0.108056	1.18	0.108056	0.00236175
512	100	1.29	0.108899	1.29	0.108899	0.00460683
1024	100	1.35	0.10332	1.35	0.10332	0.00911899
2048	100	1.48	0.108148	1.48	0.108148	0.0180659
4096	100	1.67	0.0927955	1.67	0.0927955	0.0356327
8192	100	1.82	0.0876128	1.82	0.0876128	0.0705492
16384	100	2.14	0.0616766	2.14	0.0616766	0.138277
32768	100	2.18	0.0638436	2.18	0.0638436	0.276209
65536	100	2.29	0.0453762	2.29	0.0453762	0.550019
