Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.33	0.137153	1.33	0.137153	0.000815058
32	100	1.42	0.139413	1.42	0.139413	0.00120863
64	100	1.45	0.152561	1.45	0.152561	0.00169758
128	100	1.51	0.15264	1.51	0.15264	0.00296734
256	100	1.65	0.157718	1.65	0.157718	0.00538363
512	100	1.6	0.158114	1.6	0.158114	0.0101426
1024	100	2.22	0.169458	2.22	0.169458	0.0202461
2048	100	2.31	0.168342	2.31	0.168342	0.0403775
4096	100	2.15	0.166358	2.15	0.166358	0.0753672
8192	100	2.43	0.164472	2.43	0.164472	0.148216
16384	100	2.49	0.17117	2.49	0.17117	0.298677
32768	100	2.28	0.16857	2.28	0.16857	0.621295
65536	100	2.73	0.175986	2.73	0.175986	1.19397
