Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.71	0.203123	1.71	0.203123	0.00196393
32	100	1.64	0.166445	1.64	0.166445	0.00321467
64	100	1.6	0.171464	1.6	0.171464	0.00536021
128	100	1.78	0.195233	1.78	0.195233	0.00897644
256	100	2.04	0.191792	2.04	0.191792	0.0172189
512	100	1.9	0.185742	1.9	0.185742	0.0297604
1024	100	1.84	0.184781	1.84	0.184781	0.0572419
2048	100	1.75	0.172844	1.75	0.172844	0.113589
4096	100	1.93	0.190921	1.93	0.190921	0.225989
8192	100	1.75	0.185135	1.75	0.185135	0.448559
16384	100	1.74	0.161009	1.74	0.161009	0.892646
32768	100	1.62	0.148849	1.62	0.148849	1.93444
65536	100	1.55	0.135185	1.55	0.135185	3.59911
