Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.25	0.105238	1.25	0.105238	0.000217537
32	100	1.4	0.108628	1.4	0.108628	0.000351804
64	100	1.3	0.109087	1.3	0.109087	0.00060821
128	100	1.45	0.109886	1.45	0.109886	0.00114088
256	100	1.78	0.107313	1.78	0.107313	0.0020727
512	100	1.72	0.111427	1.72	0.111427	0.0040179
1024	100	2.19	0.10459	2.19	0.10459	0.00771002
2048	100	2.4	0.0979796	2.4	0.0979796	0.0151079
4096	100	2.87	0.050309	2.87	0.050309	0.0292012
8192	100	2.96	0.0195959	2.96	0.0195959	0.0579717
16384	100	3	0	3	0	0.115049
32768	100	3	0	3	0	0.229559
65536	100	3	0	3	0	0.461378
