Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.57	0.150502	1.57	0.150502	0.00322357
32	100	1.62	0.168985	1.62	0.168985	0.00538999
64	100	1.71	0.167508	1.71	0.167508	0.00920477
128	100	1.75	0.177975	1.75	0.177975	0.0186395
256	100	1.63	0.182568	1.63	0.182568	0.0518125
512	100	1.58	0.144347	1.58	0.144347	0.0382985
1024	100	1.38	0.15413	1.38	0.15413	0.0711267
2048	100	1.51	0.157794	1.51	0.157794	0.142166
4096	100	1.37	0.138315	1.37	0.138315	0.307264
8192	100	1.56	0.149211	1.56	0.149211	0.627153
16384	100	1.82	0.178539	1.82	0.178539	1.2302
32768	100	1.39	0.134086	1.39	0.134086	2.38687
65536	100	1.26	0.134625	1.26	0.134625	4.8249
