Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.6	0.173781	1.6	0.173781	0.00215268
32	100	1.6	0.174356	1.6	0.174356	0.00325919
64	100	1.95	0.173421	1.95	0.173421	0.00521055
128	100	1.93	0.173352	1.93	0.173352	0.01084
256	100	2.1	0.19	2.1	0.19	0.0199108
512	100	1.95	0.177975	1.95	0.177975	0.0387487
1024	100	1.96	0.182713	1.96	0.182713	0.0756054
2048	100	2.18	0.179655	2.18	0.179655	0.144495
4096	100	1.86	0.164329	1.86	0.164329	0.300999
8192	100	1.53	0.168199	1.53	0.168199	0.63391
16384	100	2.14	0.155576	2.14	0.155576	1.31711
32768	100	1.89	0.171403	1.89	0.171403	2.49536
65536	100	1.96	0.172	1.96	0.172	4.9097
