Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	0.9	0.0921954	0.9	0.0921954	0.00034222
32	100	0.98	0.093787	0.98	0.093787	0.000544714
64	100	1.14	0.0927577	1.14	0.0927577	0.00103572
128	100	1.39	0.0926229	1.39	0.0926229	0.00197615
256	100	1.45	0.0792149	1.45	0.0792149	0.0039064
512	100	1.56	0.0668132	1.56	0.0668132	0.00765007
1024	100	1.58	0.0737292	1.58	0.0737292	0.0150273
2048	100	1.49	0.0685493	1.49	0.0685493	0.0297103
4096	100	1.47	0.0607536	1.47	0.0607536	0.058833
8192	100	1.43	0.0636475	1.43	0.0636475	0.116888
16384	100	1.53	0.0573672	1.53	0.0573672	0.23263
32768	100	1.44	0.0668132	1.44	0.0668132	0.476229
65536	100	1.41	0.0584722	1.41	0.0584722	0.979189
