Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	0.76	0.0895768	0.76	0.0895768	0.000284617
32	100	0.95	0.100374	0.95	0.100374	0.000439276
64	100	0.99	0.0974628	0.99	0.0974628	0.00077545
128	100	0.87	0.0879261	0.87	0.0879261	0.00145292
256	100	0.77	0.0892805	0.77	0.0892805	0.0028015
512	100	1.02	0.103904	1.02	0.103904	0.00540282
1024	100	1.28	0.102059	1.28	0.102059	0.0105207
2048	100	1.11	0.0926229	1.11	0.0926229	0.0209912
4096	100	0.92	0.0868101	0.92	0.0868101	0.0423208
8192	100	1.13	0.094504	1.13	0.094504	0.0839954
16384	100	1.25	0.090967	1.25	0.090967	0.1669
32768	100	1.12	0.0919565	1.12	0.0919565	0.335417
65536	100	1.12	0.0941063	1.12	0.0941063	0.670701
