Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.45	0.14586	1.45	0.14586	0.00129402
32	100	1.26	0.133881	1.26	0.133881	0.00154075
64	100	1.4	0.146969	1.4	0.146969	0.00239232
128	100	1.3	0.126095	1.3	0.126095	0.00466757
256	100	1.68	0.147567	1.68	0.147567	0.00823221
512	100	1.66	0.155061	1.66	0.155061	0.0181024
1024	100	1.71	0.138777	1.71	0.138777	0.0369078
2048	100	1.97	0.145227	1.97	0.145227	0.049948
4096	100	1.91	0.147713	1.91	0.147713	0.0868056
8192	100	2.17	0.160658	2.17	0.160658	0.212571
16384	100	2	0.139284	2	0.139284	0.327179
32768	100	1.93	0.144399	1.93	0.144399	0.660553
65536	100	1.89	0.142755	1.89	0.142755	1.34724
